Date,Temperature (°C),pH,Oxygen Level (mg/L),Nitrogen Level (mg/L),Phosphate Level (mg/L),Ammonia (mg/L),Nitrate (mg/L),Nitrite (mg/L),Calcium (mg/L),Magnesium (mg/L),Iodine (mg/L),Strontium (mg/L)
2023/01/15,22.68016717,7.45,3.12,1.23,0.16,0.25,3.02,0.45,10.67,6.12,0.05,0.02
2023/02/23,19.55633276,7.89,4.67,3.12,0.27,0.15,2.98,0.56,11.02,5.67,0.09,0.01
6/10/2023,16.02052916,8.078580836,2.627399191,5.063050249,0.1335754369,0.2630421947,4.545226214,0.5074179485,11.71384491,6.949524225,0.008551464959,0.08710852926
8/23/2023,17.54087013,8.6265424,4.28279085,0.9328865936,0.3642441969,0.3974763371,1.250456367,0.9102325045,11.21818713,5.758744144,0.02460141473,0.04008685446
3/29/2023,15.33339993,6.643990009,5.453459744,1.292992722,0.1588785718,0.3777942308,0.4417353585,0.8947008969,10.80093613,5.815675714,0.04219069428,0.0529817666
12/15/2023,16.95284816,8.473748715,5.206834424,2.924635505,0.4910090833,0.02494165335,4.932312114,0.171139247,10.24887415,6.672972393,0.05217798962,0.05664708889
10/26/2023,16.11717451,7.832738399,2.766954747,2.697350831,0.09062778875,0.2050769743,0.269536779,0.5436858288,11.24390586,5.143380674,0.004325720422,0.01860502732
8/21/2023,21.63905018,8.590414996,5.446453522,5.991260913,0.4557960617,0.04001820503,1.164534154,0.9921998862,10.40894916,6.768306549,0.09006611483,0.03031992445
3/20/2023,18.91317033,8.177063092,4.973104532,4.773628373,0.1076634049,0.1765268192,0.8541619494,0.342398983,10.73304346,6.948851172,0.07139961645,0.08464731793
9/13/2023,22.39816463,8.934549735,3.639343209,2.379585812,0.1161648841,0.4091308525,1.283862118,0.7842472586,10.88721039,5.474230516,0.01775232136,0.09294689674
7/1/2023,21.04621941,7.446687609,3.459635652,0.03636241292,0.3448273057,0.474010642,5.83387783,0.9807044818,10.9140496,6.862067856,0.09372657971,0.03464446707
8/23/2023,20.2983241,6.049652821,4.890092926,1.801376698,0.3064457404,0.4465140476,3.111057438,0.3916370652,10.86913276,6.179914704,0.05102951337,0.02703516878
2/27/2023,21.46990644,7.451096575,4.815001429,1.358248693,0.4224753028,0.4366336774,2.782571428,0.6543363949,11.07094673,5.919974185,0.09696527548,0.08103320364
6/17/2023,18.50775257,8.801153484,3.350874931,3.297712162,0.1630063463,0.4305846664,2.990433506,0.8122692693,10.50380864,5.170994811,0.02529322333,0.006537376458
7/29/2023,26.87737163,8.398564198,5.824199044,3.384799872,0.1376003494,0.4396813088,5.026467722,0.7557295822,10.2534015,6.87518688,0.03445980796,0.03936369181
3/10/2023,26.92883468,8.142655671,3.471893979,0.4273882318,0.1893069909,0.2212156833,0.4016522366,0.8301031702,11.41833526,6.604819457,0.0004482922529,0.04258889419
10/15/2023,16.44269936,8.223402062,4.753291822,3.777694459,0.1121771779,0.3457833873,5.462572635,0.2046837001,10.03779191,6.711103221,0.06565205414,0.09836670533
12/4/2023,25.14564715,7.967299241,3.02802207,3.046724808,0.1128518248,0.3967904321,4.307636296,0.3969721124,10.34818123,6.72016218,0.05536283869,0.04123968117
2/28/2023,24.04326474,8.777522077,5.540940464,2.136700185,0.01636219869,0.09352675255,4.96895992,0.005736700601,11.05850137,5.692232005,0.06246014515,0.0899777912
1/22/2023,15.19596944,7.640052547,3.697367137,3.308489139,0.2784829295,0.4875825509,5.95029696,0.2886476742,11.609968,6.606368237,0.07146885392,0.05594155172
10/27/2023,24.58001198,8.236950167,5.271119521,5.32603267,0.06746719242,0.1656234286,0.06049620702,0.5247061883,11.26428941,6.996723339,0.02573064368,0.06694288552
11/24/2023,16.46101685,8.156527625,2.373426512,3.149254331,0.2753318256,0.2719770667,2.6348801,0.937274525,11.09117117,5.719403458,0.0721775254,0.003974818649
2/15/2023,23.06049024,7.2200577,4.022157915,3.588236241,0.3975334312,0.4508692114,1.288326561,0.1364071078,10.45237465,5.528372434,0.03239169173,0.01322055997
1/1/2023,22.52961608,8.309311843,5.757600706,4.457361541,0.4312831306,0.3209072107,0.1540835223,0.5422820234,11.53080083,6.883363883,0.03969426123,0.09524973933
